year	change	in	out
2000	-5.4	12.8	18.2
2001	-5.626	12.75	18.376
2002	-5.676	12.7	18.376
2003	-5.902	12.65	18.552
2004	-6.128	12.6	18.728
2005	-6.354	12.55	18.904
2006	-6.58	12.5	19.08
2007	-6.806	12.45	19.256
2008	-7.032	12.4	19.432
2009	-7.258	12.35	19.608
2010	-7.484	12.3	19.784
2011	-7.71	12.25	19.96
2012	-7.936	12.2	20.136
2013	-8.162	12.15	20.312
2014	-8.388	12.1	20.488
2015	-8.614	12.05	20.664
2016	-8.84	12	20.84
2017	-9.066	11.95	21.016
2018	-9.292	11.9	21.192
2019	-9.518	11.85	21.368
2020	-9.744	11.8	21.544
2021	-9.97	11.75	21.72
2022	-10.196	11.7	21.896
2023	-10.422	11.65	22.072
2024	-10.648	11.6	22.248
2025	-10.874	11.55	22.424
2026	-11.1	11.5	22.6
2027	-11.326	11.45	22.776
2028	-11.552	11.4	22.952
2029	-11.778	11.35	23.128
2030	-12.004	11.3	23.304
2031	-12.23	11.25	23.48
2032	-12.456	11.2	23.656
2033	-12.682	11.15	23.832
2034	-12.908	11.1	24.008
2035	-13.134	11.05	24.184
2036	-13.36	11	24.36
2037	-13.586	10.95	24.536
2038	-13.812	10.9	24.712
2039	-14.038	10.85	24.888
2040	-14.264	10.8	25.064
2041	-14.49	10.75	25.24
2042	-14.716	10.7	25.416
2043	-14.942	10.65	25.592
2044	-15.168	10.6	25.768
2045	-15.394	10.55	25.944
2046	-15.62	10.5	26.12
2047	-15.846	10.45	26.296
2048	-16.072	10.4	26.472
2049	-16.298	10.35	26.648
2050	-16.524	10.3	26.824
