year	change	Low scenario	Medium scenario	High scenario
2000	-5.4	190	350	550
2001	-5.626	184.374	344.374	544.374
2002	-5.852	178.522	338.522	538.522
2003	-6.078	172.444	332.444	532.444
2004	-6.304	166.14	326.14	526.14
2005	-6.53	159.61	319.61	519.61
2006	-6.756	152.854	312.854	512.854
2007	-6.982	145.872	305.872	505.872
2008	-7.208	138.664	298.664	498.664
2009	-7.434	131.23	291.23	491.23
2010	-7.66	123.57	283.57	483.57
2011	-7.886	115.684	275.684	475.684
2012	-8.112	107.572	267.572	467.572
2013	-8.338	99.234	259.234	459.234
2014	-8.564	90.67	250.67	450.67
2015	-8.79	81.88	241.88	441.88
2016	-9.016	72.864	232.864	432.864
2017	-9.242	63.622	223.622	423.622
2018	-9.468	54.154	214.154	414.154
2019	-9.694	44.46	204.46	404.46
2020	-9.92	34.54	194.54	394.54
2021	-10.146	24.394	184.394	384.394
2022	-10.372	14.022	174.022	374.022
2023	-10.598	3.424	163.424	363.424
2024	-10.824	-7.4	152.6	352.6
2025	-11.05	-18.45	141.55	341.55
2026	-11.276	-29.726	130.274	330.274
2027	-11.502	-41.228	118.772	318.772
2028	-11.728	-52.956	107.044	307.044
2029	-11.954	-64.91	95.09	295.09
2030	-12.18	-77.09	82.91	282.91
2031	-12.406	-89.496	70.504	270.504
2032	-12.632	-102.128	57.872	257.872
2033	-12.858	-114.986	45.014	245.014
2034	-13.084	-128.07	31.93	231.93
2035	-13.31	-141.38	18.62	218.62
2036	-13.536	-154.916	5.084	205.084
2037	-13.762	-168.678	-8.678	191.322
2038	-13.988	-182.666	-22.666	177.334
2039	-14.214	-196.88	-36.88	163.12
2040	-14.44	-211.32	-51.32	148.68
2041	-14.666	-225.986	-65.986	134.014
2042	-14.892	-240.878	-80.878	119.122
2043	-15.118	-255.996	-95.996	104.004
2044	-15.344	-271.34	-111.34	88.66
2045	-15.57	-286.91	-126.91	73.09
2046	-15.796	-302.706	-142.706	57.294
2047	-16.022	-318.728	-158.728	41.272
2048	-16.248	-334.976	-174.976	25.024
2049	-16.474	-351.45	-191.45	8.55
2050	-16.7	-368.15	-208.15	-8.15
